2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.823861
r_down	LEN_advisories	0.140189
r_down	BLK_'s	-0.346379
r_down	M_'s	-0.0106748
r_down	COST_'s	-0.238787
r_down	LUV_stocks	0.159799
r_down	AMAT_stocks	0.45166
r_down	BBY_sales	-0.00808214
r_down	CMCSA_'s	0.153718
r_down	VLO_stocks	-0.268871
r_down	APOL_focus	0.284445
r_down	ROST_surprises	0.0166191
r_down	APA_gains	1.78238
r_down	HES_stocks	-0.315802
r_down	ANF_stocks	-0.209274
r_down	LEN_surprises	0.140189
r_down	APOL_'s	-0.293427
r_down	ROST_advisories	0.0166191
r_down	LOW_'s	-0.451389
r_down	MET_$	0.0746094
r_down	NDAQ_'s	-0.0438848
r_down	CME_'s	-0.230481
r_down	PNC_'s	-0.195044
r_down	ICE_'s	-0.665902
r_down	WLP_'s	0.668896
r_down	CVX_$	0.0359319
r_down	STI_'s	-0.0874842
r_down	AET_'s	0.302696
r_down	AIG_$	-0.291681
r_down	RF_'s	-0.0629811
r_down	CI_'s	0.295123
r_down	MDT_'s	-0.313083
r_down	CSCO_results	-0.13814
r_down	CSCO_shares	-0.147759
r_down	IR_52	-0.112658
r_down	STT_higher	-0.221761
r_down	MDT_$	-0.279117
r_down	WFC_'s	-0.0929222
r_down	ORCL_'s	-0.413497
r_down	VZ_'s	0.13778
r_down	FSLR_energy	-0.03596
r_down	MUR_stocks	0.973275
r_down	AVP_'s	-0.0871791
r_down	M_$	-0.505002
r_down	SNDK_shares	-0.498221
r_down	AIG_'s	0.189474
r_down	XOM_energy	-0.1443
r_down	BA_'s	-0.153258
r_down	MCD_'s	0.117434
r_down	CRM_'s	-1.24332
r_down	PRU_focus	0.159936
r_down	CHK_gains	-0.0066431
r_down	MET_'s	-0.499733
r_down	LOW_sector	0.405477
r_down	A_'s	0.285091
r_down	CHK_lead	-0.564282
r_down	APC_gains	-0.389225
r_down	KO_$	-0.112953
r_down	MRO_$	0.238921
r_down	KO_'s	-0.167056
r_down	COF_'s	-0.0872238
r_down	GILD_$	-0.350202
r_down	GILD_stocks	-0.963435
r_down	HBAN_'s	-0.0372715
r_down	UTX_'s	-0.199141
r_down	APC_stocks	-0.230514
