2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	-0.065238
r_down	BLK_'s	-0.107583
r_down	HD_'s	-0.176279
r_down	NVDA_'s	0.224741
r_down	LMT_'s	0.42611
r_down	M_'s	0.0971446
r_down	LUV_'s	-0.113977
r_down	COST_'s	0.147003
r_down	M_after	-1.1748
r_down	LUV_stocks	0.45267
r_down	BBY_sales	-0.0444673
r_down	CMCSA_'s	0.209234
r_down	OXY_gains	0.174619
r_down	AMAT_up	0.556935
r_down	BBY_stocks	0.217387
r_down	M_stocks	-0.140846
r_down	LOW_'s	0.0311217
r_down	PG_'s	0.240733
r_down	NDAQ_'s	-0.00566464
r_down	CME_'s	0.0176267
r_down	PNC_'s	-0.425002
r_down	X_'s	-0.102566
r_down	WLP_'s	0.0786715
r_down	EW_$	0.609268
r_down	CVX_$	-0.39966
r_down	STI_'s	0.394008
r_down	PRU_$	0.180943
r_down	RF_'s	-0.219175
r_down	AES_'s	-0.552478
r_down	MDLZ_watch	0.0189142
r_down	CI_'s	0.346198
r_down	WFM_after	0.21602
r_down	CVX_stocks	0.37588
r_down	MRK_2011	0.511119
r_down	MDT_$	0.162986
r_down	WYNN_watch	0.302666
r_down	WFC_'s	0.123718
r_down	ORCL_'s	-0.402397
r_down	F_sales	1.09974
r_down	VZ_'s	-0.110473
r_down	FSLR_energy	0.753062
r_down	M_$	-0.591266
r_down	NFLX_stock	0.804988
r_down	F_'s	-0.309201
r_down	XOM_energy	-0.401532
r_down	BA_'s	-0.500768
r_down	MU_shares	0.404318
r_down	MCD_'s	-0.136376
r_down	BLK_fund	-0.496879
r_down	TSO_stocks	-0.31684
r_down	WYNN_$	-0.101079
r_down	ADBE_surprises	-0.187529
r_down	PEP_$	0.307216
r_down	CHK_lead	-0.479927
r_down	CHK_gas	-0.865328
r_down	VLO_lead	-0.985982
r_down	ADBE_advisories	-0.187529
r_down	APC_gains	-0.209134
r_down	KO_$	-0.566741
r_down	KO_'s	-0.760123
r_down	PCG_$	-0.484798
r_down	APA_rally	-0.433476
r_down	COF_'s	0.332252
r_down	EMR_'s	0.06316
r_down	BBT_'s	-0.113829
r_down	SLB_crude	-0.23028
r_down	MTB_'s	-0.0337971
r_down	FITB_'s	-0.00721375
r_down	APC_stocks	-0.0502564
r_down	HAL_'s	0.0164886
r_down	HAL_stocks	-0.315953
r_down	CHK_stocks	0.905177
r_down	SCHW_stocks	0.335112
r_down	EMC_'s	0.852338
r_down	HAL_$	-0.051062
r_down	COF_bank	0.0431471
r_down	SPLS_'s	-0.214967
r_down	HES_market	-0.690326
r_down	BIG_stocks	-0.566566
r_down	V_'s	0.0888874
r_down	COP_'s	0.288914
r_down	BIIB_'s	-0.139385
r_down	SWY_$	0.0817677
r_down	GME_'s	0.258356
r_down	SPG_'s	0.0254465
r_down	PPG_$	0.0619
r_down	FCX_'s	0.171906
r_down	DNR_'s	0.697384
r_down	MMM_$	0.00889363
r_down	AA_'s	-0.101315
r_down	PG_$	-0.213585
r_down	SYMC_$	-0.569963
r_down	D_'s	-0.0131597
r_down	MMM_stocks	0.0698184
r_down	TXN_shares	-0.254967
r_down	BSX_'s	0.0678695
r_down	NKE_'s	0.39123
r_down	COST_after	-0.0171952
r_down	GCI_'s	0.439814
r_down	CVS_$	0.0178391
r_down	AA_higher	-0.767702
r_down	COST_focus	-0.49461
r_down	AA_data	-0.225232
r_down	PBCT_'s	-0.197664
r_down	PLL_'s	-0.863924
r_down	SBUX_'s	0.327746
r_down	COST_data	-0.821323
r_down	BIIB_stocks	-0.0776299
r_down	LLY_'s	-0.0586494
r_down	MDLZ_'s	-0.306642
r_down	FLR_'s	0.461821
r_down	AMGN_stocks	-0.606921
r_down	GPS_'s	0.443959
r_down	SLB_'s	0.418981
r_down	BBT_$	0.951597
r_down	V_stocks	-0.188044
r_down	APC_'s	-0.333943
