2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.174988
r_up	KSS_advisories	0.157715
r_up	LEN_advisories	-0.186307
r_up	BLK_'s	0.469214
r_up	BBY_'s	0.513293
r_up	HD_'s	0.0739033
r_up	LMT_'s	-0.25315
r_up	BBY_after	0.532106
r_up	UPS_'s	-0.0260262
r_up	M_'s	-0.0534832
r_up	COST_'s	-0.321859
r_up	COST_sales	-0.37842
r_up	CMCSA_'s	-0.268641
r_up	VLO_after	0.353943
r_up	VLO_stocks	0.311765
r_up	BBY_data	0.827345
r_up	APA_stocks	-0.00201035
r_up	CCI_'s	0.130204
r_up	TJX_surprises	0.0757692
r_up	HES_stocks	-0.0754368
r_up	ANF_stocks	-0.0117982
r_up	AMAT_up	0.197567
r_up	ANF_'s	0.184818
r_up	LEN_surprises	-0.186307
r_up	BBY_stocks	-0.438083
r_up	JCP_stocks	0.667248
r_up	TJX_advisories	0.0757692
r_up	JCP_'s	0.0123904
r_up	LOW_'s	-0.137784
r_up	KSS_surprises	0.157715
r_up	PG_'s	0.176961
r_up	NDAQ_'s	-0.0458158
r_up	PNC_'s	0.103612
r_up	X_'s	0.569448
r_up	WLP_'s	-0.134435
r_up	CVX_$	-0.14366
r_up	LMT_budget	0.235137
r_up	CSCO_watch	0.00741969
r_up	CSCO_shares	0.238974
r_up	AIG_focus	0.0710344
r_up	USB_'s	0.13526
r_up	KO_focus	0.0281588
r_up	VZ_'s	-0.0232431
r_up	NBR_stocks	-0.517835
r_up	IBM_'s	0.0388482
r_up	HIG_stocks	-0.546055
r_up	M_$	0.402221
r_up	F_stocks	-0.0740869
r_up	VLO_energy	-0.256965
r_up	AIG_'s	-0.00171511
r_up	FSLR_stocks	-0.115203
r_up	NFLX_stock	-0.144176
r_up	F_'s	-0.0749851
r_up	XOM_energy	-0.283958
r_up	ANF_biggest	-0.445569
r_up	MU_shares	-0.0567519
r_up	PFG_'s	0.276138
r_up	MCD_'s	-0.0396074
r_up	CRM_'s	1.00352
r_up	CHK_shares	0.0350767
r_up	TXN_rally	0.0144205
r_up	GPS_focus	-0.234582
r_up	CHK_gains	0.246757
r_up	TSO_stocks	0.0565229
r_up	JWN_stocks	-0.348446
r_up	MET_'s	0.598832
r_up	CHK_lead	0.117136
r_up	CHK_gas	0.267425
r_up	LLY_stocks	-0.64515
r_up	APC_gains	0.907264
r_up	DRI_'s	-0.00479769
r_up	KO_$	0.219286
r_up	MRO_$	-0.890051
r_up	KO_'s	0.299088
r_up	CMA_sector	0.484976
r_up	GILD_$	0.227892
r_up	BBT_'s	0.385752
r_up	HBAN_'s	0.0191277
r_up	FITB_'s	0.0191324
r_up	APC_stocks	0.138272
r_up	DVN_stocks	0.0329313
r_up	BK_'s	-0.0974132
r_up	KR_advisories	0.0846129
r_up	CHK_stocks	-0.473221
r_up	EXC_stocks	0.663203
r_up	CMA_stocks	0.113975
r_up	DOW_'s	-0.73619
r_up	SLB_stocks	0.0622761
r_up	KR_surprises	0.0846129
r_up	MRO_stocks	0.573684
r_up	CF_'s	-0.291287
r_up	EXC_'s	-0.458837
r_up	BIG_'s	-0.896792
r_up	MRO_'s	-0.11181
r_up	LLY_n't	-0.537789
r_up	COP_'s	-0.400882
r_up	GME_'s	0.236281
r_up	OXY_'s	-0.194441
r_up	JDSU_'s	-0.5989
r_up	MMM_$	-0.0198498
r_up	AA_'s	-0.251851
r_up	PG_$	0.342272
r_up	COF_$	-0.179421
r_up	SYMC_$	0.814048
r_up	D_'s	0.12027
r_up	COST_stock	1.16196
r_up	BSX_'s	0.405892
r_up	K_'s	-0.0481538
r_up	PBCT_'s	0.664083
r_up	EA_'s	-0.306592
r_up	TWX_$	0.0359553
r_up	LOW_stocks	0.35089
r_up	TWX_but	0.504343
r_up	COST_futures	-0.218078
r_up	COST_data	1.14941
r_up	BIIB_stocks	0.0202791
r_up	STI_stocks	0.259579
r_up	EMC_stocks	-0.0216967
r_up	GPS_'s	-0.609497
r_up	CHK_'s	-0.149055
r_up	AXP_lower	-0.232727
r_up	BBT_$	-0.0910825
r_up	V_stocks	0.053662
r_up	APC_'s	0.362391
