2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.211826
r_down	KSS_advisories	-0.3461
r_down	NVDA_market	0.227521
r_down	BLK_'s	-0.0981468
r_down	BBY_'s	-0.25628
r_down	HD_'s	-0.232183
r_down	NVDA_'s	-0.247074
r_down	LMT_'s	0.0759409
r_down	M_'s	0.0330604
r_down	LUV_'s	0.216457
r_down	COST_sales	0.189739
r_down	CMCSA_'s	0.543054
r_down	CMG_'s	-0.0641628
r_down	VLO_refiners	0.0420037
r_down	ANF_'s	-0.153765
r_down	TJX_stocks	0.847402
r_down	APOL_'s	0.108497
r_down	JCP_'s	-0.11713
r_down	M_stocks	-0.228825
r_down	LOW_'s	0.0631222
r_down	MET_$	0.445164
r_down	KSS_surprises	-0.3461
r_down	PG_'s	-0.0416102
r_down	URBN_stocks	-0.584068
r_down	NDAQ_'s	0.597432
r_down	CME_'s	0.110232
r_down	PNC_'s	-0.423573
r_down	KO_watch	-0.492973
r_down	X_'s	0.0330227
r_down	ICE_'s	-1.20148
r_down	DIS_watch	-0.491515
r_down	ETR_surprises	-0.142839
r_down	AIG_$	0.0706819
r_down	ETR_advisories	-0.142839
r_down	MDLZ_watch	0.363783
r_down	MDT_'s	0.952661
r_down	CVX_stocks	0.64893
r_down	CSCO_shares	-0.163934
r_down	CMA_'s	0.123406
r_down	IR_52	-0.745336
r_down	AIG_focus	-0.401338
r_down	MDT_$	0.190305
r_down	USB_'s	0.363163
r_down	WYNN_watch	0.196198
r_down	WFC_'s	0.0500328
r_down	VZ_'s	-0.0992689
r_down	NBR_stocks	0.594779
r_down	FSLR_energy	-0.414902
r_down	M_$	-0.431544
r_down	VLO_energy	0.292162
r_down	AIG_'s	0.324141
r_down	USB_banks	0.560833
r_down	F_'s	0.221593
r_down	XOM_stocks	-0.279166
r_down	BA_'s	-0.744225
r_down	NBR_energy	0.0733122
r_down	PFG_'s	-0.338846
r_down	MCD_'s	-0.0451797
r_down	CRM_'s	-1.20261
r_down	TXN_rally	-1.92574
r_down	TSO_stocks	-0.0384697
r_down	MET_'s	-0.104108
r_down	ADBE_surprises	-0.344281
r_down	CHK_lead	0.182281
r_down	GIS_'s	0.0165498
r_down	EMC_$	-0.258527
r_down	LLY_stocks	0.0450259
r_down	ADBE_advisories	-0.344281
r_down	KO_$	-0.0245263
r_down	MRO_$	0.226722
r_down	PCG_$	-0.106868
r_down	COF_'s	-0.541249
r_down	EMR_'s	0.350571
r_down	BBT_'s	-0.249185
r_down	MTB_'s	-0.119812
r_down	UTX_'s	0.0646126
r_down	USB_gains	-0.123342
r_down	HAL_'s	0.103989
r_down	HAL_stocks	-0.455629
r_down	USB_declining	0.209103
r_down	USB_gaining	0.209103
r_down	CHK_stocks	0.898176
r_down	HBAN_down	1.32248
r_down	DOW_'s	-0.163367
r_down	USB_biggest	0.209103
