2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	0.0916997
r_up	gaining	-0.917262
r_up	weighs	0.0881566
r_up	outlook	0.105175
r_up	move	3.31794
r_up	's	0.108328
r_up	profit	0.98671
r_up	surprises	0.280664
r_up	after	-2.59346
r_up	advisories	0.280664
r_up	biggest	-0.917262
r_up	stocks	1.4788
r_up	5.8	-1.7267
r_up	some	-2.41292
r_up	sales	-1.29949
r_up	hope	2.97139
r_up	retailers	0.314342
r_up	into	-3.38468
r_up	shares	2.23889
r_up	worries	-2.62673
r_up	retail	0.257312
r_up	oil	1.91331
r_up	$	-2.23784
r_up	tops	0.66261
r_up	slashes	-2.12781
r_up	warning	-5.01037
r_up	2007	3.42351
r_up	6.7	2.97062
r_up	department-store	-2.31606
r_up	lead	-0.199121
r_up	give	0.34516
r_up	retailer	-3.99154
r_up	fall	-3.37878
r_up	36	-5.71297
r_up	leading	-1.7992
r_up	jumps	-2.39737
r_up	play	-1.71835
r_up	off	-2.97132
r_up	focus	0.115549
r_up	earnings	2.35324
r_up	higher	2.17521
r_up	falls	-3.39931
r_up	post	1.70062
r_up	drop	-2.73904
r_up	sector	0.85228
r_up	gains	-1.95706
r_up	department	1.51426
r_up	rise	0.648265
r_up	stores	-1.10671
r_up	spotlight	1.17578
r_up	stock	-0.784872
r_up	weathering	-1.14446
r_up	downturn	-1.14446
r_up	remain	-3.96086
r_up	mixed	1.32577
r_up	report	2.16399
r_up	gets	2.10592
r_up	while	2.1786
r_up	moves	0.0159906
r_up	weather	-1.522
r_up	checks	-2.71184
r_up	hit	-1.41307
r_up	slip	-1.82128
r_up	surges	1.0387
r_up	profits	4.00299
r_up	malaise	2.69275
r_up	view	-0.00545675
r_up	eacute	-1.14447
r_up	e	-1.14447
r_up	outlooks	-3.12294
r_up	21	0.737534
r_up	down	-3.82187
r_up	rises	2.12929
r_up	top	3.60535
r_up	jobs	3.05335
r_up	start	-0.960712
r_up	got	-0.960712
r_up	chains	-0.960712
r_up	bending	0.701965
r_up	breaking	0.701965
r_up	behavior	0.701965
r_up	fashions	-2.44342
r_up	luxury	2.47713
r_up	losing	-2.40925
r_up	consumer	-3.2725
r_up	brighten	-1.69145
r_up	third-quarter	-1.69145
r_up	spending	0.841065
r_up	losses	-1.84796
r_up	stir	2.03355
r_up	''	-1.19864
r_up	``	-1.19864
r_up	under	-0.765035
r_up	around	-0.765035
r_up	16	1.52666
r_up	month	2.73559
r_up	worst	0.891075
r_up	18	2.15829
r_up	ahead	0.203074
r_up	drops	-0.333991
r_up	following	3.58797
r_up	new	0.313619
r_up	first	1.63204
r_up	68	-2.28894
r_up	expected	-1.22767
r_up	up	1.31474
r_up	expectations	3.43541
r_up	discounts	-3.58663
r_up	plunges	-4.30388
r_up	lift	-6.26531
r_up	s	0.998592
r_up	8217	0.998592
r_up	board	-1.53234
r_up	spar	-1.53234
r_up	hint	9.96857
r_up	upgraded	0.87832
r_up	spot	0.000644695
r_up	apparel	0.87832
r_up	troubled	0.87832
r_up	estimates	0.809203
r_up	11	1.99728
r_up	remains	-2.41698
r_up	spring	-0.0325145
r_up	jump	0.551093
r_up	war	5.62718
r_up	sell	0.418038
r_up	brand	0.418038
r_up	rebounds	0.418038
r_up	5.6	-2.28894
r_up	brace	3.4049
r_up	lifted	0.98686
r_up	raised	-0.988484
r_up	home	-1.55817
r_up	pending	-1.55817
r_up	cooler	-0.538041
r_up	see	-0.538041
r_up	strategists	-0.538041
r_up	beach	-0.538041
r_up	cheer	2.62422
r_up	surprise	-2.87021
r_up	best	1.60484
r_up	pace	1.89026
r_up	17	-1.76294
r_up	rue21	-1.76294
r_up	debuts	-1.76294
r_up	1	-2.39727
r_up	do	1.73957
r_up	slump	-0.568703
r_up	environment	-0.568703
r_up	2010	-2.28911
r_up	game	0.526421
r_up	won	0.526421
r_up	have	0.526421
r_up	chicken	0.526421
r_up	delivers	4.08121
r_up	net	-2.73715
r_up	heat	1.83237
r_up	great	-2.35588
r_up	pastime	-2.35588
r_up	boost	1.82382
r_up	deals	1.59806
r_up	on-track	-2.20544
r_up	likely	2.87645
r_up	2nd	1.41713
r_up	sparkles	2.67717
r_up	better	1.00017
r_up	weighed	1.00017
r_up	winning	2.10559
r_up	shopper	-3.05038
r_up	back-to-school	-1.64091
r_up	0.1	-1.72742
r_up	heavily	0.127004
r_up	weigh	0.127004
r_up	cut	-4.13475
r_up	staying	0.51472
r_up	power	0.51472
r_up	their	0.51472
r_up	get	-1.03449
r_up	afraid	0.107847
r_up	arenà€™t	0.107847
r_up	people	0.107847
r_up	spend	0.107847
r_up	bolster	-1.28051
r_up	try	-1.28051
r_up	traders	-1.28051
r_up	pitch	0.786921
r_up	sweet	1.05244
r_up	find	1.05244
r_up	rosy	3.34805
r_up	2011	-2.55075
r_up	26	-2.1325
r_up	margin	-2.1325
r_up	'the	-2.28894
r_up	pressures	-1.3533
r_up	pressure	-1.3533
r_up	shadow	-1.3533
r_up	191.40	1.43538
r_up	high	-3.11417
r_up	win	4.0309
r_up	resilience	-0.531034
r_up	retail-sales	-2.05623
r_up	gives	-2.05623
r_up	hours	1.80847
r_up	highs	0.70836
r_up	well	0.70836
r_up	bode	0.70836
r_up	weekly	0.70836
r_up	2004	2.10559
r_up	customer	-0.494022
r_up	highlight	-0.494022
r_up	20	2.17924
r_up	derailed	-0.623707
r_up	dented	-0.623707
r_up	trick	1.05285
r_up	treaters	1.05285
r_up	stakes	2.10557
r_up	30	2.10559
r_up	dressing	-3.71267
r_up	solid	-0.436413
r_up	note	3.03963
r_up	1.25	3.03963
r_up	foreshadow	1.70245
r_up	uncertain	1.70245
r_up	slower	0.132119
r_up	winter	0.132119
r_up	missing	0.132119
r_up	goes	0.132119
r_up	eases	2.1503
r_up	impact	-1.2733
r_up	inflationà€™s	-1.2733
r_up	benefit	0.502081
r_up	tourism	0.502081
