2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.681367
r_up	's	0.679698
r_up	surprises	0.0982203
r_up	advisories	0.0982203
r_up	exploring	0.7197
r_up	says	0.7197
r_up	options	0.7197
r_up	strategic	0.7197
r_up	may	-1.18866
r_up	focus	0.0985832
r_up	up	-1.81923
r_up	report	2.18267
r_up	before	4.01369
r_up	biggest	0.0918189
r_up	gaining	-0.537203
r_up	stocks	-1.11194
r_up	declining	1.23782
r_up	weighs	-7.15814
r_up	financial	3.40901
r_up	n't	0.200789
r_up	$	-0.627331
r_up	6	-4.86153
r_up	fall	-2.27992
r_up	10	1.83075
r_up	gains	2.51007
r_up	day	-1.27548
r_up	higher	3.83165
r_up	loss	-1.79257
r_up	down	-1.42687
r_up	futures	0.4733
r_up	stock	-3.60792
r_up	end	-1.07026
r_up	dividend	0.814373
r_up	feel	0.19465
r_up	pinch	0.19465
r_up	housing	0.19465
r_up	tanks	0.19465
r_up	banks	2.10081
r_up	15	0.458273
r_up	jumps	0.458273
r_up	retreats	0.458273
r_up	while	0.458273
r_up	sink	0.458273
r_up	financials	2.8115
r_up	lower	-0.799614
r_up	plunge	-0.802508
r_up	investors	-0.047002
r_up	mull	-0.047002
r_up	next	-0.047002
r_up	potential	-0.047002
r_up	amp	-0.047002
r_up	casualty	-0.047002
r_up	into	0.458848
r_up	led	-1.26271
r_up	--	2.87856
r_up	downgrade	-3.69909
r_up	regional	-0.3372
r_up	turn	0.676969
r_up	close	-0.932405
r_up	hit	1.53572
r_up	credit	0.866803
r_up	industrials	3.21716
r_up	losing	-2.27268
r_up	30	0.737154
r_up	but	-0.314151
r_up	post	2.88639
r_up	jitters	0.307855
r_up	weigh	0.104459
r_up	his	0.00160144
r_up	companies	0.00160144
r_up	planning	0.00160144
r_up	participate	0.00160144
r_up	12	-2.195
r_up	plan	0.629
r_up	under	-4.37075
r_up	7.4	3.5079
r_up	66	-2.92821
r_up	20	-0.173077
r_up	11.50	-2.09086
r_up	nearly	0.00712514
r_up	nationalize	-1.26311
r_up	have	-1.26311
r_up	weakest	-1.26311
r_up	23	1.13277
r_up	8217	2.87856
r_up	its	-4.87683
r_up	outlook	-0.937846
r_up	falls	-0.937846
r_up	warm	-1.20544
r_up	comments	-1.20544
r_up	stage	-1.20544
r_up	selling	-5.74346
r_up	stress	0.00092515
r_up	tests	0.00092515
r_up	test	3.33592
r_up	trade	4.09569
r_up	68	0.703033
r_up	can	0.703033
r_up	concerns	-3.10894
r_up	5	2.50774
r_up	cuts	-1.29254
r_up	weaken	-1.99598
r_up	sales	-0.202356
r_up	home	-0.202356
r_up	narrows	0.699123
r_up	provision	0.699123
r_up	2008	0.699123
r_up	hammer	0.699123
r_up	shrug	4.61764
r_up	rally	2.91753
r_up	500	-0.395084
r_up	trend	-4.16239
r_up	rise	4.14754
r_up	support	1.43956
r_up	lend	1.43956
r_up	provisions	-1.58032
r_up	tunnel	-1.58032
r_up	broader	-1.55553
r_up	dirty	1.43956
r_up	dozen	1.43956
r_up	sets	-4.4963
r_up	2009	-0.134868
r_up	best-	-0.134868
r_up	worst-performing	-0.134868
r_up	2010	-0.13917
r_up	barometer	-0.13917
r_up	predicts	-0.13917
r_up	3	3.32226
r_up	jump	4.55431
r_up	abyss	8.20237
r_up	third	-4.42709
r_up	surge	4.34251
r_up	battered	1.57296
r_up	more	2.87856
r_up	streak	-0.134868
r_up	jeopardy	-0.134868
r_up	winning	-0.134868
r_up	lead	-4.65152
r_up	past	1.07176
r_up	blowout	0.169815
r_up	stuck	0.169815
r_up	subpoena	0.169815
r_up	falter	0.169815
r_up	quarter	0.169815
r_up	early	0.671684
r_up	worry	0.671684
r_up	mergers	1.09953
r_up	reform	1.09953
r_up	week	4.52753
r_up	fueled	0.184288
r_up	regional-bank	0.184288
r_up	80.91	2.88048
r_up	pull	-5.59804
r_up	trim	-0.202369
r_up	rebounds	-0.202369
r_up	'em	2.87856
r_up	unemployment	-3.51722
r_up	told	-3.51722
r_up	announcements	1.43956
r_up	coming	1.43956
r_up	50	2.36919
r_up	result	2.87954
r_up	250	-1.51457
r_up	7	-0.886494
r_up	're	-2.65419
r_up	among	0.215986
r_up	gainers	0.215986
r_up	top	0.215986
r_up	watch	-0.0672346
r_up	45	1.51898
r_up	4	2.87856
r_up	2013	1.99742
r_up	advancing	2.66096
r_up	misses	1.25077
r_up	high	1.25077
r_up	session	1.25077
r_up	2	-0.886494
r_up	k	1.43956
r_up	401	1.43956
r_up	around	-1.0817
r_up	weight	-1.0817
r_up	their	-1.0817
r_up	throw	-1.0817
r_up	24	1.09301
r_up	no	-0.627216
r_up	follows	-0.627216
r_up	one	-0.627216
r_up	dive	-0.202113
r_up	warnings	-0.202113
r_up	2011	2.87856
r_up	2012	2.87856
