2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	-0.322894
r_down	300,000	1.26011
r_down	2007	1.26011
r_down	...	-1.87402
r_down	may	3.2135
r_down	$	0.0493575
r_down	66c	0.614709
r_down	63c	0.614709
r_down	5	1.29095
r_down	weighs	-1.0652
r_down	1.46	-1.0652
r_down	gaining	0.537331
r_down	1.09	-1.0652
r_down	biggest	0.537331
r_down	stocks	-0.826316
r_down	's	0.437559
r_down	declining	0.537331
r_down	surprises	-0.111194
r_down	advisories	-0.111194
r_down	7	3.11429
r_down	investors	0.669223
r_down	mull	0.669223
r_down	next	0.669223
r_down	potential	0.669223
r_down	casualty	0.669223
r_down	jumps	-2.95666
r_down	19	-1.06307
r_down	71	3.58276
r_down	worldwide	-0.774401
r_down	wreckage	-0.774401
r_down	rose	-0.774401
r_down	amid	-0.774401
r_down	spotlight	3.52257
r_down	hit	-1.09325
r_down	fears	-5.62719
r_down	n't	0.310559
r_down	39	-1.93477
r_down	extend	0.991747
r_down	focus	2.22636
r_down	inflation	0.991747
r_down	data	0.244928
r_down	but	-2.52068
r_down	indexes	0.365589
r_down	higher	1.96567
r_down	rally	-1.62388
r_down	more	2.07702
r_down	banks	2.65088
r_down	up	1.10467
r_down	late-traded	-0.371524
r_down	sales	-0.371524
r_down	lifts	-0.371524
r_down	view	-0.371524
r_down	planning	1.04131
r_down	participate	1.04131
r_down	loss	-5.31173
r_down	jolt	0.416518
r_down	50,000	0.416518
r_down	job	0.416518
r_down	cuts	0.416518
r_down	latest	0.416518
r_down	path	1.04131
r_down	billions	1.04131
r_down	rules	0.434493
r_down	future	0.434493
r_down	profits	0.434493
r_down	financials	0.782835
r_down	increased	0.434493
r_down	its	3.75651
r_down	seven	0.401846
r_down	15	-1.3864
r_down	another	0.401846
r_down	invests	0.401846
r_down	matches	0.840137
r_down	worst	0.840137
r_down	ever	0.840137
r_down	market	2.03586
r_down	earnings	3.92518
r_down	8220	-1.16692
r_down	8221	-1.16692
r_down	big	-0.493083
r_down	rebound	-2.02877
r_down	off	-2.32076
r_down	mixed	-0.955023
r_down	drops	-1.50959
r_down	8230	-0.667588
r_down	shares	0.271628
r_down	2009	1.53574
r_down	help	2.96545
r_down	t	-0.835723
r_down	8217	0.766137
r_down	sour	-0.468475
r_down	economy	-0.468475
r_down	sacked	-0.468475
r_down	sports	-0.468475
r_down	bargains	-1.0478
r_down	8216	-0.189804
r_down	200	-2.96013
r_down	s	-0.247302
r_down	700	-2.36125
r_down	says	0.987417
r_down	2008	-0.680049
r_down	14.6	-0.680049
r_down	23	-1.74841
r_down	repay	1.99393
r_down	fall	0.609945
r_down	1st	1.63386
r_down	50	-3.81067
r_down	late-session	-1.80979
r_down	push	-1.80979
r_down	10	0.700831
r_down	point	-2.29566
r_down	start	-2.29566
r_down	599	-1.92347
r_down	expense	0.263163
r_down	shareholder	0.263163
r_down	could	-0.361578
r_down	rising	-0.361578
r_down	capital-raising	-0.361578
r_down	rates	-0.361578
r_down	dampen	-0.361578
r_down	'mega-grants	2.52022
r_down	jobless	-1.05532
r_down	broadly	-1.05532
r_down	improve	-1.05532
r_down	deal	1.02342
r_down	can	-7.62466
r_down	1	1.53513
r_down	4	4.03737
r_down	6	-1.21905
r_down	tide	0.840156
r_down	funds	0.840156
r_down	turn	0.840156
r_down	2	1.49902
r_down	9	-2.15976
r_down	13	0.442859
r_down	2.9	-1.11264
r_down	3.8	3.63324
r_down	looms	0.840168
r_down	resigns	0.840168
r_down	bankruptcy	0.840168
r_down	support	-2.76492
r_down	third-quarter	-1.50862
r_down	lag	-1.50862
r_down	forecasts	-1.50862
r_down	manage	-0.102334
r_down	modest	-0.102334
r_down	gain	-0.844038
r_down	firms	0.694183
r_down	bar	0.694183
r_down	sets	0.694183
r_down	reform	-0.98716
r_down	lend	-0.988119
r_down	bankers	-0.988119
r_down	pressures	-0.988119
r_down	're	2.72085
r_down	claims	0.325339
r_down	jump	-1.09774
r_down	hold	1.1154
r_down	pat	1.1154
r_down	stands	1.1154
r_down	1.2	1.67093
r_down	1.5	-1.11311
r_down	upgrade	5.05805
r_down	abyss	-1.12119
r_down	home-equity	0.840104
r_down	reopens	0.840104
r_down	forgiveness	0.840104
r_down	drive	-1.45013
r_down	brokers	-1.45013
r_down	territory	-1.13527
r_down	positive	-1.13527
r_down	rout	1.04142
r_down	drift	1.04142
r_down	wake	-1.32517
r_down	4th	2.5204
r_down	-14	2.07655
r_down	emerging	0.0590616
r_down	managers	0.0590616
r_down	unscathed	0.0590616
r_down	wave	0.0590616
r_down	horizon	0.0590616
r_down	90	-3.06192
r_down	2010	1.18773
r_down	fueled	-0.937019
r_down	regional-bank	-0.937019
r_down	vs.	1.70951
r_down	smack-down	-3.58389
r_down	100	1.26011
r_down	2nd	1.26011
r_down	surges	0.369722
r_down	drop	0.369722
r_down	1.9	2.03322
r_down	110th	-1.87402
r_down	119	-1.87402
r_down	drag	-3.08482
r_down	25th	-1.87402
r_down	wild	1.26011
r_down	gone	1.26011
r_down	weà€™ll	-2.41191
r_down	80.91	-3.36755
r_down	midterm	-1.03734
r_down	wins	-1.03734
r_down	steady	-1.03734
r_down	election	-1.03734
r_down	dividend	-2.24738
r_down	now	-0.874454
r_down	reasons	-0.874454
r_down	tests	-0.115922
r_down	payouts	-0.115922
r_down	require	-0.115922
r_down	stress	-0.115922
r_down	7.5	-0.115922
r_down	upping	-0.115922
r_down	before	-0.115922
r_down	28th	2.5204
r_down	'08	-1.0147
r_down	into	-1.94719
r_down	highs	0.729708
r_down	takeover	0.729708
r_down	talk	0.729708
r_down	fee	-2.51885
r_down	21	-3.49874
r_down	2011	0.433809
r_down	25	-2.47045
r_down	redux	4.55673
r_down	-2	3.14558
r_down	'em	-1.87402
r_down	rate	0.115484
r_down	11	2.77243
r_down	sanctioned	0.556349
r_down	30	0.122457
r_down	k	-0.937036
r_down	401	-0.937036
r_down	announcements	-1.15586
r_down	coming	-1.15586
r_down	250	2.74253
r_down	offers	0.630079
r_down	results	0.630079
r_down	other	0.630079
r_down	clues	0.630079
r_down	names	1.26011
r_down	à€˜conviction	1.26011
r_down	2.55	1.90685
r_down	45	-2.74954
r_down	watch	0.45026
r_down	pressure	-0.079516
r_down	materials	-0.079516
r_down	2013	-2.67179
r_down	9.6	0.311124
r_down	43	0.311124
r_down	ascent	1.26023
r_down	financialsà€™	1.26023
r_down	18	-1.15586
r_down	1,200	-1.15586
r_down	finance	-0.125092
r_down	hurt	-0.125092
r_down	win	-0.624632
r_down	value	-0.624632
r_down	ranking	-0.624632
r_down	no	1.53436
r_down	follows	1.53436
r_down	one	1.53436
r_down	break	1.26011
r_down	curse	1.26011
r_down	charges	-0.468528
r_down	six	-0.468528
r_down	former	-0.468528
r_down	execs	-0.468528
r_down	''	-1.43081
r_down	``	-1.43081
r_down	2012	-1.87402
r_down	set	-2.19106
r_down	last	-2.19106
r_down	hike	-2.19106
r_down	not	-2.19106
r_down	eke	0.0213577
r_down	out	0.0213577
r_down	19.8	-2.36125
