2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.294661
r_down	financials	2.01524
r_down	stocks	-0.090302
r_down	's	-0.047789
r_down	declining	0.337511
r_down	$	-0.773239
r_down	watch	0.929887
r_down	up	1.66439
r_down	mixed	1.41302
r_down	banks	0.476631
r_down	weighs	0.89401
r_down	better	0.712989
r_down	customers	0.712989
r_down	n't	0.318619
r_down	2nd	1.16544
r_down	down	1.09442
r_down	sector	1.4277
r_down	rattle	0.235858
r_down	help	0.235858
r_down	after	-3.20729
r_down	cut	1.58835
r_down	dividend	-2.90758
r_down	buoy	6.5239
r_down	gains	-3.42636
r_down	lower	5.94298
r_down	drop	2.2467
r_down	leads	2.59046
r_down	next	2.48947
r_down	55	-3.0961
r_down	surprises	0.623949
r_down	advisories	0.623949
r_down	focus	-0.646088
r_down	lead	-1.47782
r_down	into	1.30118
r_down	rally	-0.890937
r_down	day	2.9173
r_down	market	-4.41492
r_down	stock	-1.34346
r_down	financial	0.297218
r_down	led	-3.39017
r_down	500	3.57893
r_down	beat	-3.58572
r_down	regional	-4.98385
r_down	2	0.189184
r_down	bears	0.505387
r_down	upper	0.505387
r_down	technically	0.505387
r_down	gain	-0.119983
r_down	hand	0.505387
r_down	losing	-1.7074
r_down	short	-0.600416
r_down	selling	-0.600416
r_down	bailout	-0.600416
r_down	ban	-0.600416
r_down	fall	0.440329
r_down	regional-banking	-0.66136
r_down	higher	-3.64638
r_down	spotlight	0.951209
r_down	72	0.951209
r_down	companies	0.583601
r_down	planning	0.583601
r_down	participate	0.583601
r_down	12	0.800987
r_down	plan	3.35682
r_down	'09	3.68165
r_down	13	3.44853
r_down	lift	-1.97334
r_down	give	-0.338036
r_down	broader	0.0135548
r_down	downgrades	2.17216
r_down	14	0.0428458
r_down	but	2.14952
r_down	out	-4.07985
r_down	high	-0.498381
r_down	jobless	-0.498381
r_down	office	-0.498381
r_down	could	-0.498381
r_down	spell	-0.498381
r_down	off	1.77393
r_down	comments	0.712584
r_down	stage	0.712584
r_down	lifting	-0.0925037
r_down	ignites	-0.37742
r_down	heat	-0.37742
r_down	eye	0.136066
r_down	tactics	0.136066
r_down	losses	0.299556
r_down	8	-2.55702
r_down	pace	-5.26336
r_down	16	-1.34588
r_down	18	-1.34588
r_down	credit	-5.53601
r_down	trend	1.19902
r_down	economic	4.0412
r_down	bucks	1.19902
r_down	failure	1.2744
r_down	lenders	1.2744
r_down	140	-3.29371
r_down	dirty	-1.24605
r_down	dozen	-1.24605
r_down	2009	-0.906482
r_down	best-	-0.906482
r_down	worst-performing	-0.906482
r_down	commissions	-1.66519
r_down	firms	-1.66519
r_down	proposals	-2.25392
r_down	heavily	-2.25392
r_down	profit	0.547705
r_down	continues	-2.25368
r_down	reign	-2.25368
r_down	20	2.67588
r_down	deal	3.26926
r_down	speculation	-1.46303
r_down	bid	-4.37396
r_down	insurer	0.996155
r_down	bond	0.996155
r_down	analyst	-1.24596
r_down	upgrades	-1.24596
r_down	propel	9.85018
r_down	fails	3.3129e-05
r_down	rallies	3.3129e-05
r_down	get	0.879535
r_down	fade	0.879535
r_down	boost	0.879535
r_down	earnings	-3.84041
r_down	slim	5.16624
r_down	looking	-1.24601
r_down	still	-1.24601
r_down	10	-1.70426
r_down	225,000	2.67588
r_down	slump	-0.922938
r_down	mortgage	-0.922938
r_down	slips	0.0546354
r_down	jumps	0.0546354
r_down	leaving	0.0546354
r_down	74	0.0546354
r_down	sink	0.0546354
r_down	year	0.0546354
r_down	pushes	0.0307731
r_down	trading	0.118296
r_down	eve	0.118296
r_down	2011	-2.6658
r_down	wonà€™t	0.316689
r_down	any	0.316689
r_down	deals	0.316689
r_down	come	0.316689
r_down	price	0.316689
r_down	persist	1.46225
r_down	downgrade	-4.45978
r_down	50	-2.49194
r_down	while	-4.21709
r_down	after-hours	0.972368
r_down	gainers	0.552004
r_down	paces	0.552004
r_down	financial-sector	0.552004
r_down	4	-2.49194
r_down	7.9	-0.830678
r_down	best	-0.830678
r_down	soars	-0.830678
r_down	back	-3.70288
r_down	easing	-2.28189
r_down	dive	0.994999
r_down	warnings	0.994999
r_down	sentiment	0.996306
r_down	home-builder	0.996306
