2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	4.00664
r_up	UTX	-0.0278509
r_up	AGN	0.497603
r_up	EOG	0.430911
r_up	WLP	0.349065
r_up	CPB	0.359948
r_up	YUM	-0.436418
r_up	SPG	0.834597
r_up	GR	0.518139
r_up	VAR	0.330789
r_up	AMZN	0.2448
r_up	JNS	-0.710749
r_up	MAR	0.0678772
r_up	MAT	-0.0735384
r_up	SNA	-0.789989
r_up	TSN	0.346318
r_up	BEN	-0.0738495
r_up	DTE	-0.133211
r_up	CMS	0.553683
r_up	APOL	-0.00997047
r_up	WFMI	0.194136
r_up	CBG	0.0139398
r_up	CBE	0.0831975
r_up	HAR	0.135432
r_up	SE	-0.694768
r_up	NOV	0.217258
r_up	AMGN	0.630725
r_up	CTL	0.124192
r_up	DOV	-0.238356
r_up	SCHW	0.410183
r_up	BSX	0.919384
r_up	GGP	-0.0670934
r_up	FCX	0.120661
r_up	HSP	-0.694449
r_up	WHR	0.180167
r_up	DFS	0.719113
r_up	XTO	0.15777
r_up	NTAP	-0.150322
r_up	MMM	0.291033
r_up	SO	0.223066
r_up	JNPR	0.157853
r_up	ADBE	-0.00141073
r_up	CAT	-0.491787
r_up	CAM	0.303504
r_up	GS	0.19586
r_up	CAG	-0.119055
r_up	KFT	0.0770623
r_up	PGN	0.53695
r_up	LH	0.556678
r_up	CELG	0.21517
r_up	ABT	-0.00939103
r_up	STR	0.031186
r_up	XOM	-0.129413
r_up	STZ	0.0655099
r_up	RSH	0.245616
r_up	PNW	-0.28544
r_up	MIL	-0.342613
r_up	VFC	-0.206201
r_up	LIZ	0.668319
r_up	AOC	0.72502
r_up	RL	-0.321183
r_up	HRB	-0.0722689
r_up	IPG	-0.0330719
r_up	IACI	-0.889001
r_up	RHI	-0.0423318
r_up	APC	0.658653
r_up	KSS	0.0711966
r_up	WFC	0.116463
r_up	IFF	0.145272
r_up	WFT	0.437826
r_up	BMC	0.0596342
r_up	JBL	-0.0947781
r_up	BMY	-0.335887
r_up	EL	-0.804566
r_up	PAYX	0.245385
r_up	SHW	0.095344
r_up	ED	-0.135734
r_up	CSC	0.221392
r_up	BTU	0.442692
r_up	LUV	0.0385118
r_up	MUR	0.321219
r_up	MTB	-0.618251
r_up	WYN	-0.54057
r_up	SYMC	0.205585
r_up	ADSK	-0.00269851
r_up	ERTS	-0.0130302
r_up	ECL	0.337246
r_up	SNDK	-0.633189
r_up	SEE	0.0857173
r_up	WPI	-0.055096
r_up	DGX	-0.183391
r_up	PCP	-0.0297762
r_up	DUK	0.870823
r_up	CLX	-0.0609245
r_up	UNH	0.184033
r_up	GENZ	0.0218182
r_up	OMC	0.442163
r_up	NOVL	1.13922
r_up	KG	-0.26143
r_up	VMC	0.516636
r_up	KR	-0.206833
r_up	KEY	0.276619
r_up	ITW	0.154106
r_up	KLAC	-0.532607
r_up	SWK	0.213989
r_up	DD	-0.220401
r_up	FRE	-0.447644
r_up	TGT	0.164286
r_up	BIG	0.0306306
r_up	BIIB	-0.200695
r_up	PCG	-0.49347
r_up	DHI	-0.56547
r_up	INTU	-0.432623
r_up	SLM	0.489392
r_up	DHR	0.612637
r_up	MCO	-0.156565
r_up	JPM	0.0139522
r_up	MCD	0.916825
r_up	AXP	-0.380817
r_up	WU	-0.0998537
r_up	HST	0.560514
r_up	RIG	0.180636
r_up	CTSH	-0.216643
r_up	HAL	0.130118
r_up	EQR	0.212178
r_up	WEN	-0.843782
r_up	BNI	-0.068145
r_up	XLNX	-0.126705
r_up	HAS	0.351667
r_up	THC	-0.217995
r_up	PH	-0.176911
r_up	SYK	-1.73887
r_up	CTAS	0.395858
r_up	EMR	-0.23696
r_up	FDX	0.0327349
r_up	CTXS	-0.349706
r_up	BUD	-1.17843
r_up	EFX	-0.298718
r_up	C	0.484502
r_up	S	0.179181
r_up	QCOM	0.0339433
r_up	MHP	0.377027
r_up	PSA	-0.23329
r_up	MON	0.260224
r_up	MCHP	-0.291458
r_up	ALTR	0.108952
r_up	KMB	0.38833
r_up	FISV	-0.25046
r_up	COF	0.322909
r_up	COH	-0.399021
r_up	BCR	0.0725048
r_up	TMO	-0.440295
r_up	FDO	0.470643
r_up	CI	-0.360581
r_up	JDSU	-0.0427204
r_up	CB	-0.206079
r_up	CA	0.0945506
r_up	WAT	0.1055
r_up	CHRW	-0.0192613
r_up	TDC	-0.0853616
r_up	BJS	-0.198652
r_up	HCBK	0.198263
r_up	PLL	-0.105882
r_up	CL	0.0837219
r_up	CMCSA	0.128587
r_up	MKC	-0.539259
r_up	AIZ	-0.105068
r_up	BXP	0.314358
r_up	CVS	-0.749517
r_up	LOW	-0.0311025
r_up	DIS	0.194114
r_up	PPG	0.316227
r_up	MNST	-0.313038
r_up	NSC	0.123284
r_up	GAS	0.440155
r_up	PPL	-0.877519
r_up	GOOG	-0.176827
r_up	HPC	0.0273147
r_up	VZ	0.0600686
r_up	CCL	-0.00405864
r_up	CCE	0.161875
r_up	MYL	0.100716
r_up	D	0.00377661
r_up	WMT	0.398121
r_up	WMI	0.751139
r_up	WMB	1.52245
r_up	VRSN	-0.274863
r_up	MWV	0.386557
r_up	HOG	-0.212365
r_up	HD	-0.371796
r_up	HNZ	-0.31567
r_up	AMD	0.235358
r_up	PTV	0.170867
r_up	AMT	0.157393
r_up	ICE	-0.587594
r_up	UPS	0.532182
r_up	TRV	-0.272406
r_up	AVP	0.240151
r_up	AVB	0.530905
r_up	CPWR	-0.669975
r_up	ACE	0.0290609
r_up	NI	-0.072856
r_up	TEL	-0.226523
r_up	NBR	0.197528
r_up	RRC	0.15107
r_up	NE	-0.450913
r_up	TEG	0.24174
r_up	NBL	-0.124314
r_up	TER	-0.51358
