2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.270864
r_up	EOG	0.287885
r_up	WLP	0.751012
r_up	YUM	0.358502
r_up	JWN	-0.210662
r_up	TAP	-1.02029
r_up	QLGC	0.314232
r_up	SPG	-0.414607
r_up	GR	0.23681
r_up	AMZN	0.283996
r_up	MAR	0.596852
r_up	MAT	0.599347
r_up	SNA	-0.214669
r_up	TLAB	-0.493589
r_up	TSN	0.490251
r_up	BEN	-0.108051
r_up	CMI	-0.526513
r_up	DTE	0.23576
r_up	DTV	0.00626298
r_up	LSI	0.174585
r_up	WFMI	-0.195942
r_up	MI	0.369387
r_up	MU	0.0684366
r_up	CBS	-0.292006
r_up	NOV	0.0722083
r_up	AMGN	0.679638
r_up	FE	-0.0873631
r_up	DOV	-0.69797
r_up	MSFT	0.206672
r_up	BSX	0.442194
r_up	SPLS	0.494426
r_up	UPS	-0.814344
r_up	BBBY	0.518553
r_up	F	-0.912247
r_up	DFS	0.294421
r_up	LTD	-0.196779
r_up	NTAP	-0.3853
r_up	LMT	0.626622
r_up	MMM	0.0907748
r_up	SO	-0.430394
r_up	JNPR	0.200991
r_up	IBM	-0.0148173
r_up	CAT	-0.0092486
r_up	CAM	0.420625
r_up	GS	0.641307
r_up	CAG	-0.207771
r_up	LH	-0.0222295
r_up	PGR	0.729426
r_up	HNZ	0.00202294
r_up	CELG	0.0257447
r_up	VZ	-0.414801
r_up	XOM	0.499871
r_up	BHI	0.0180641
r_up	RSH	0.457095
r_up	futures	0.0278339
r_up	PNW	-0.863514
r_up	PNC	0.0157797
r_up	MIL	-0.0521834
r_up	VFC	-0.728936
r_up	CPWR	-1.02266
r_up	FNM	-0.453042
r_up	RX	0.194319
r_up	AYE	0.102727
r_up	IPG	-0.151617
r_up	TYC	1.23098
r_up	RHI	-0.0868533
r_up	APC	0.820563
r_up	KSS	0.270322
r_up	WFC	-0.240465
r_up	BMS	0.136766
r_up	BMY	0.198265
r_up	EL	-0.854895
r_up	PAYX	0.124326
r_up	OXY	-0.0335869
r_up	CSC	-0.121823
r_up	LUV	-0.0787493
r_up	MUR	1.13773
r_up	JBL	0.0358904
r_up	ADSK	-0.305769
r_up	ERTS	-0.107792
r_up	ECL	0.134069
r_up	SNDK	0.080531
r_up	JCI	-0.34628
r_up	SEE	0.651873
r_up	DGX	-0.44049
r_up	PCP	-0.157389
r_up	EXPD	0.17305
r_up	DUK	0.31533
r_up	UNH	0.129364
r_up	VMC	0.475912
r_up	KR	0.197903
r_up	XLNX	-0.770876
r_up	LNC	0.207651
r_up	CTAS	0.0650662
r_up	MOLX	-0.107336
r_up	SWK	-0.341134
r_up	DF	-0.152465
r_up	DD	-0.362885
r_up	DE	0.436747
r_up	SWY	0.110327
r_up	TGT	0.40507
r_up	BIIB	-0.0834148
r_up	AKAM	-0.0539236
r_up	DHI	-0.339694
r_up	M	-0.457861
r_up	INTU	0.772433
r_up	SLM	-0.549339
r_up	SLE	0.716454
r_up	SLB	-0.067488
r_up	MCO	0.133049
r_up	MCD	0.501601
r_up	AXP	-0.0750886
r_up	EXC	-0.656253
r_up	AAPL	-1.06315
r_up	WU	-0.372997
r_up	WY	0.0945862
r_up	VNO	0.478059
r_up	UNM	0.296931
r_up	HSP	-0.524837
r_up	RIG	-0.032204
r_up	CTSH	-0.725617
r_up	EQR	0.70064
r_up	WEN	0.163834
r_up	BNI	0.197846
r_up	X	0.321419
r_up	HAR	0.332708
r_up	HAS	0.152415
r_up	CTXS	-0.534824
r_up	GPS	-0.0925806
r_up	SYK	0.126156
r_up	LXK	-0.280675
r_up	AES	-0.451051
r_up	ESRX	-0.686049
r_up	AEE	0.476797
r_up	KLAC	-0.332658
r_up	EMR	-0.111594
r_up	FDX	-0.27136
r_up	PX	0.0874771
r_up	PG	-0.896128
r_up	PH	0.302334
r_up	BUD	-1.15238
r_up	NVLS	0.209251
r_up	EFX	-0.127409
r_up	DDS	-0.15201
r_up	QCOM	-0.118832
r_up	MHS	0.500684
r_up	PSA	0.400384
r_up	MCHP	-0.246363
r_up	ALTR	1.40333
r_up	KMB	0.511106
r_up	FISV	0.0227279
r_up	COF	-0.00943242
r_up	ETN	0.016375
r_up	COL	0.0231306
r_up	TMO	0.15118
r_up	FDO	0.643054
r_up	MHP	-0.02903
r_up	JDSU	-0.13971
r_up	CB	0.22857
r_up	WAT	0.16775
r_up	CHRW	0.0317076
r_up	TDC	-0.946968
r_up	SBUX	0.499481
r_up	PLL	0.0598333
r_up	CMCSA	0.249796
r_up	MKC	-0.177893
r_up	GNW	0.85743
r_up	CVX	0.252981
r_up	AIZ	1.81043
r_up	BXP	0.275632
r_up	CVS	0.0873607
r_up	CVG	0.767669
r_up	AIG	-1.27498
r_up	DIS	0.133359
r_up	MNST	0.0597121
r_up	GOOG	-0.173711
r_up	IP	-0.387667
r_up	HPQ	-0.126394
r_up	MTB	0.022355
r_up	UTX	0.299651
r_up	BA	-1.13145
r_up	BC	0.119609
r_up	CCL	0.256228
r_up	TIF	-0.0457676
r_up	COV	0.114115
r_up	MYL	0.101675
r_up	SIAL	0.0821644
r_up	WMT	0.076085
r_up	WMI	-2.31222
r_up	WMB	-0.245345
r_up	SVU	1.13518
r_up	AA	-0.0536747
r_up	MWV	0.42797
r_up	HD	0.317243
r_up	ROH	-0.204767
r_up	INTC	0.0267398
r_up	AMD	-0.11164
r_up	AMP	-0.0279691
r_up	PBG	0.46652
r_up	CNX	-0.149451
r_up	YHOO	0.00190107
r_up	AVP	-0.172903
r_up	outlook	0.0683992
r_up	NEM	-0.218931
r_up	ACE	0.0342798
