2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.838907
r_up	AGN	0.429504
r_up	EOG	-0.0221871
r_up	WLP	0.346403
r_up	CPB	0.352467
r_up	YUM	0.0187282
r_up	TAP	-0.977177
r_up	QLGC	-0.0359084
r_up	GR	0.403619
r_up	AMP	0.171825
r_up	AMZN	-0.246363
r_up	JNS	-0.707179
r_up	MAR	0.258318
r_up	MAT	0.267726
r_up	JNY	-0.0318155
r_up	TLAB	-0.122127
r_up	JNJ	-0.114727
r_up	BEN	-0.0977504
r_up	CMI	-0.357621
r_up	DTE	0.0117628
r_up	DTV	0.39489
r_up	KBH	-0.27542
r_up	HUM	0.0225215
r_up	APOL	0.199288
r_up	K	-0.139262
r_up	CBG	-0.17725
r_up	MI	0.155284
r_up	MU	0.0298433
r_up	CBS	0.0636675
r_up	HAR	0.0245246
r_up	COST	0.408644
r_up	CTL	-0.186949
r_up	DOV	-0.782844
r_up	MSFT	0.488412
r_up	SCHW	0.283252
r_up	BSX	0.152652
r_up	HSP	-0.271463
r_up	BBBY	-0.0588531
r_up	F	-0.119356
r_up	DFS	0.135403
r_up	NTAP	-0.347633
r_up	MMM	0.460886
r_up	SO	-0.170833
r_up	MMC	0.513798
r_up	ADBE	-0.0332034
r_up	IBM	-0.673248
r_up	BAX	-0.198457
r_up	CAT	-0.204802
r_up	CAM	0.123445
r_up	GS	0.381616
r_up	CAG	-0.0547425
r_up	KFT	-0.0264103
r_up	PGN	-0.279006
r_up	CELG	-0.0281317
r_up	XOM	0.495067
r_up	STZ	-0.350178
r_up	BHI	-0.192115
r_up	RSH	0.709953
r_up	PNW	-0.512582
r_up	PNC	0.418706
r_up	MIL	-0.542446
r_up	VFC	-0.212805
r_up	FNM	-0.469381
r_up	AOC	0.47917
r_up	SAF	-0.0181145
r_up	PRU	0.387874
r_up	AYE	0.544507
r_up	IPG	-0.460579
r_up	RHI	-0.127488
r_up	APD	-0.560413
r_up	KSS	0.539985
r_up	WFC	-0.00805429
r_up	NVDA	-0.724745
r_up	WFT	-0.52569
r_up	BMC	-0.000439485
r_up	JBL	0.0733551
r_up	BMY	0.380166
r_up	EL	-0.232345
r_up	PAYX	0.543911
r_up	SHW	0.348723
r_up	ED	0.0887072
r_up	CSC	0.117031
r_up	EP	0.385845
r_up	BTU	-0.00611297
r_up	Q	-0.225176
r_up	LUV	-0.165481
r_up	MUR	0.63605
r_up	SYMC	-0.0712205
r_up	ADSK	-0.092454
r_up	ERTS	0.0171355
r_up	ECL	0.110891
r_up	SNDK	-0.314506
r_up	SEE	0.593248
r_up	WPI	-0.00290929
r_up	DGX	-0.483247
r_up	ASH	-0.197109
r_up	PCP	-0.0287676
r_up	EXPD	-0.0284766
r_up	DUK	0.0346114
r_up	CLX	-0.537489
r_up	CMA	0.478695
r_up	UNH	0.229414
r_up	UNM	0.243111
r_up	OMC	-0.548416
r_up	KG	0.279266
r_up	VMC	0.113756
r_up	KR	1.01176
r_up	ITW	0.0797134
r_up	KLAC	-0.0255743
r_up	MOLX	-0.0362631
r_up	SWK	-0.0929774
r_up	DF	-1.53004
r_up	DD	-0.771562
r_up	DE	0.278135
r_up	SWY	1.36161
r_up	TGT	0.312528
r_up	BIIB	0.0937126
r_up	AKAM	-0.218904
r_up	DHI	-0.867103
r_up	M	-0.293622
r_up	INTU	0.596135
r_up	SLM	-0.609588
r_up	SLE	0.0400401
r_up	SLB	0.14765
r_up	JPM	0.210101
r_up	MCD	0.00632744
r_up	VNO	0.206474
r_up	SPLS	0.0489496
r_up	HST	0.0819906
r_up	HAL	-0.473871
r_up	EQR	0.539402
r_up	WEN	0.706578
r_up	GPC	0.180661
r_up	BNI	-0.591917
r_up	HAS	0.388142
r_up	PH	0.401957
r_up	GPS	-0.0454019
r_up	SYK	0.0852351
r_up	BRCM	0.458667
r_up	SYY	-0.0656915
r_up	LXK	0.453613
r_up	AES	-0.467364
r_up	ESRX	-0.656259
r_up	AMAT	-0.0720791
r_up	AEE	0.872893
r_up	CTAS	0.118968
r_up	EMR	-0.0312619
r_up	FDX	-0.213861
r_up	BUD	-0.802232
r_up	NVLS	0.399711
r_up	EFX	0.214927
r_up	C	1.08441
r_up	DDS	-0.155989
r_up	QCOM	-0.0494113
r_up	XRX	0.663366
r_up	MHS	0.802035
