2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	7.37924
r_up	AGN	0.52115
r_up	EOG	-0.219133
r_up	WLP	0.198413
r_up	CPB	-0.0685778
r_up	YUM	0.165004
r_up	TXT	-0.0409103
r_up	WY	1.01206
r_up	VNO	1.07164
r_up	HSP	-0.152475
r_up	HST	0.0190475
r_up	CTSH	-0.161998
r_up	AEP	-1.16472
r_up	EQR	0.563075
r_up	PTV	1.37851
r_up	VAR	0.699192
r_up	X	0.123548
r_up	SYMC	-0.120113
r_up	GPS	0.112159
r_up	MAS	0.141941
r_up	MAR	0.0614733
r_up	MAT	0.173571
r_up	PHM	0.103237
r_up	SNA	-0.330917
r_up	XEL	-0.369055
r_up	TLAB	-0.588473
r_up	EMN	-0.293045
r_up	AEE	1.26803
r_up	KLAC	0.0851599
r_up	PCL	0.445326
r_up	EMR	-0.2108
r_up	FDX	-0.158855
r_up	DTV	-0.275263
r_up	SBUX	-0.054015
r_up	MET	-0.536863
r_up	HUM	-0.157528
r_up	APOL	0.223855
r_up	LSI	0.157518
r_up	PG	-0.137891
r_up	PH	0.366845
r_up	ROH	-0.311163
r_up	NVLS	0.178954
r_up	C	0.25974
r_up	HCBK	-0.430266
r_up	S	0.0595572
r_up	QCOM	-0.0354096
r_up	UIS	0.450351
r_up	MHS	0.291162
r_up	MHP	-0.0307143
r_up	CBG	-0.619381
r_up	CBE	0.0199251
r_up	MI	0.791521
r_up	CBS	-1.04961
r_up	MMC	0.203014
r_up	MCHP	0.0070985
r_up	ALTR	0.323151
r_up	TIF	0.237079
r_up	DVN	0.00611742
r_up	KMB	0.103542
r_up	COV	0.251087
r_up	AMGN	0.1066
r_up	COF	0.297263
r_up	CTL	-0.397239
r_up	COH	-0.450433
r_up	DOV	-0.628232
r_up	BSX	0.43502
r_up	FCX	-1.32869
r_up	WHR	0.620317
r_up	BBBY	0.313101
r_up	LTR	0.0996887
r_up	JDSU	-0.548521
r_up	CB	-0.149577
r_up	CA	0.0272627
r_up	DFS	0.39616
r_up	WMI	-1.62369
r_up	WAT	-0.300012
r_up	CHRW	0.308544
r_up	TDC	-0.493459
r_up	MMM	0.109808
r_up	SO	-0.261827
r_up	SE	-0.106156
r_up	LOW	-0.280608
r_up	ADBE	-0.615899
r_up	CVS	0.347133
r_up	CAT	-0.0738622
r_up	CAM	-0.152832
r_up	GS	0.523915
r_up	AIG	0.201098
r_up	CAG	-0.126414
r_up	MCK	-0.0561879
r_up	DIS	0.184411
r_up	KFT	-1.44664
r_up	PPG	-0.343033
r_up	RRC	-0.303012
r_up	PGN	0.0279815
r_up	LH	0.177787
r_up	PGR	0.639771
r_up	HNZ	-0.0164959
r_up	CELG	-0.0352718
r_up	GOOG	-0.25006
r_up	TEG	0.626292
r_up	ABI	0.136048
r_up	HPQ	0.103746
r_up	STJ	0.20232
r_up	MTB	-0.166892
r_up	UTX	0.771874
r_up	STZ	-0.189406
r_up	BHI	-0.168008
r_up	PNW	-0.0195833
r_up	UPS	-0.00942149
r_up	SGP	0.361092
r_up	PNC	0.545216
r_up	BXP	-0.24405
r_up	NSC	-0.12996
r_up	MIL	-0.399533
r_up	VFC	0.1741
r_up	CCE	0.0921584
r_up	HAR	0.0896275
r_up	HAS	-0.0872434
r_up	AOC	0.646983
r_up	ACE	0.21787
r_up	THC	-0.386193
r_up	MYL	-0.0211061
r_up	RL	-0.140777
r_up	SIAL	-0.112441
r_up	D	0.27107
r_up	PEP	0.204289
r_up	BF.B	-0.244539
r_up	WMT	0.339434
r_up	VZ	-0.07069
r_up	WMB	-0.367022
r_up	SVU	1.13395
r_up	HAL	0.228781
r_up	IPG	-0.407572
r_up	RHI	0.412368
r_up	CINF	0.421004
r_up	APC	0.805276
r_up	APA	0.545889
r_up	NWS.A	0.205562
r_up	WFC	0.281971
r_up	CMCSA	-0.0675098
r_up	WFT	-0.0295703
r_up	INTC	0.187866
r_up	AMD	0.405048
r_up	BMS	0.399336
r_up	BCR	0.541584
r_up	BMY	-0.0298774
r_up	AMT	0.337215
