2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	0.830789
r_up	UTX	0.441481
r_up	AGN	0.431555
r_up	EOG	0.524516
r_up	WLP	0.297471
r_up	JWN	-0.067642
r_up	SPG	0.555733
r_up	GR	0.0933944
r_up	GD	-0.373875
r_up	AMP	0.141885
r_up	VAR	0.338915
r_up	AMZN	0.71474
r_up	MAS	-0.922032
r_up	MAR	-0.00885674
r_up	SNA	-0.426197
r_up	JNY	-0.124048
r_up	TLAB	-0.663727
r_up	JNJ	-0.33657
r_up	TSN	0.329245
r_up	BEN	-0.488949
r_up	CMI	-1.13566
r_up	DTE	-0.0124527
r_up	PCL	-0.112068
r_up	CMS	-0.0717719
r_up	DTV	0.726802
r_up	KBH	-0.286721
r_up	APOL	-0.125898
r_up	LSI	-0.0562017
r_up	WFMI	0.332234
r_up	K	-0.176517
r_up	CBE	-0.432489
r_up	MU	-0.240597
r_up	CBS	-0.323996
r_up	HAR	0.00453661
r_up	SE	0.124413
r_up	NOV	-0.0722961
r_up	AMGN	0.351912
r_up	CTL	-0.261928
r_up	DOV	-0.267145
r_up	MSFT	-0.144727
r_up	BSX	0.133926
r_up	WHR	-0.103175
r_up	BBBY	0.25416
r_up	F	-2.175
r_up	DFS	0.205751
r_up	LTD	0.045374
r_up	NTAP	-0.161662
r_up	MMM	-0.0581424
r_up	JNPR	-0.188663
r_up	MMC	0.138814
r_up	ADBE	0.342109
r_up	IBM	0.710512
r_up	CAM	0.0796752
r_up	LH	0.0292114
r_up	PGR	0.282816
r_up	HIG	1.61828
r_up	CELG	0.112332
r_up	STJ	0.169867
r_up	XOM	0.66234
r_up	BHI	-0.19782
r_up	RSH	-0.453333
r_up	PNW	-0.137589
r_up	MIL	-0.0505532
r_up	VFC	-0.121617
r_up	FNM	-0.188063
r_up	LIZ	0.350189
r_up	AOC	0.20372
r_up	RX	0.168442
r_up	PRU	0.244581
r_up	AYE	0.343487
r_up	MRO	0.251579
r_up	IPG	-0.516466
r_up	APC	0.554132
r_up	APD	-1.47498
r_up	WFC	-0.0392341
r_up	IFF	-0.0279096
r_up	WFR	0.0414635
r_up	WFT	-0.257578
r_up	JBL	0.0751731
r_up	BMS	0.134325
r_up	BMY	0.159876
r_up	EL	-0.563273
r_up	PAYX	0.371142
r_up	OXY	-0.0562385
r_up	SHW	0.184006
r_up	EP	-0.0991535
r_up	BTU	-0.199795
r_up	Q	-0.898924
r_up	CZN	0.103109
r_up	LUV	-0.0741319
r_up	SYMC	-0.0317753
r_up	ECL	0.149389
r_up	SNDK	-0.313911
r_up	DGX	-0.346491
r_up	NUE	-0.138888
r_up	PCP	0.00222782
r_up	EXPE	0.55861
r_up	DUK	0.205336
r_up	CLX	-0.0706678
r_up	CMA	0.491229
r_up	UNH	0.480005
r_up	GENZ	0.23631
