2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	-0.609792
r_down	UTX	-0.470674
r_down	AGN	-0.255826
r_down	NYX	0.57855
r_down	WLP	-0.886937
r_down	CPB	-0.409625
r_down	JWN	-0.27294
r_down	TAP	0.631108
r_down	AAPL	-0.367333
r_down	GT	0.157448
r_down	GIS	0.271591
r_down	VAR	-0.48599
r_down	JNS	0.212154
r_down	MAR	-0.0706513
r_down	MAT	-0.375451
r_down	SNA	0.383844
r_down	TLAB	-0.0802958
r_down	JNJ	-0.0122365
r_down	TSN	-0.0145341
r_down	BEN	0.0754381
r_down	PCL	0.834389
r_down	HUM	-0.42184
r_down	APOL	0.254624
r_down	WFMI	0.027897
r_down	K	-0.0490622
r_down	BLL	0.360478
r_down	CBG	1.17207
r_down	MU	-0.0260955
r_down	CBS	0.599662
r_down	MS	0.0112779
r_down	TJX	-0.828505
r_down	NOV	-0.236273
r_down	AMGN	-0.329838
r_down	COST	-0.224946
r_down	DOV	0.384159
r_down	MSFT	-0.491706
r_down	SCHW	-0.112625
r_down	BSX	-0.223119
r_down	GGP	-0.0254137
r_down	WHR	0.188062
r_down	BBBY	-0.167147
r_down	MDT	-0.160681
r_down	LTR	0.294348
r_down	ZMH	0.923104
r_down	F	0.476136
r_down	DFS	0.23221
r_down	LTD	0.295551
r_down	NTAP	0.0467106
r_down	LMT	-0.770446
r_down	JNPR	-0.352258
r_down	IBM	-0.332405
r_down	BAX	0.228326
r_down	CAT	-0.65599
r_down	GS	-0.135399
r_down	CAG	0.177109
r_down	TE	0.372216
r_down	LH	0.153128
r_down	DYN	-0.206803
r_down	CELG	-0.47866
r_down	STJ	-0.0280498
r_down	ABT	-0.237356
r_down	STR	0.265264
r_down	NSM	-0.097521
r_down	BHI	0.264871
r_down	RSH	0.202646
r_down	PNW	0.415725
r_down	VFC	0.175303
r_down	FNM	-0.32596
r_down	LIZ	-0.199557
r_down	AOC	-0.225684
r_down	SAF	-0.0240327
r_down	PRU	-0.717345
r_down	RL	1.03299
r_down	AYE	-0.428753
r_down	CHK	0.102928
r_down	MRO	-0.281886
r_down	IACI	0.16081
r_down	APA	0.303817
r_down	WFC	-0.0525423
r_down	IFF	0.0214503
r_down	BMC	0.1561
r_down	JBL	-0.678448
r_down	BMS	-0.162522
r_down	BMY	0.170784
r_down	EL	0.0455699
r_down	PAYX	-0.357159
r_down	OXY	0.221327
r_down	ED	-0.229226
r_down	CSC	-0.102749
r_down	EQ	-0.489386
r_down	BTU	-0.220949
r_down	LUV	0.206734
r_down	WYE	-0.537493
r_down	SYMC	0.203212
r_down	ADSK	-0.234343
r_down	ERTS	0.346488
r_down	ECL	-0.30345
r_down	SNDK	0.0303215
r_down	WPI	-0.378739
r_down	DGX	0.268896
r_down	PCP	-0.0705463
r_down	EXPE	-0.309194
r_down	EXPD	0.186154
r_down	UNP	0.828626
r_down	DUK	0.573285
r_down	R	-0.386178
r_down	CMA	-0.333944
r_down	BBY	-0.253547
r_down	BBT	-0.0694861
r_down	UNM	0.0234005
r_down	OMC	-0.289947
r_down	KG	0.206481
r_down	VMC	-0.392448
r_down	KR	-0.121181
r_down	LNC	-0.773342
r_down	KEY	0.233854
r_down	ITW	0.483347
r_down	KLAC	-0.0530476
r_down	DE	0.0650117
r_down	SWY	-1.15829
r_down	BIG	-0.00999339
r_down	BIIB	0.3038
r_down	PCG	0.0839862
r_down	AKAM	0.443831
r_down	DHI	0.183247
r_down	M	0.370623
r_down	SLE	0.100359
r_down	DHR	-0.299014
r_down	SLB	0.107573
r_down	MCO	-0.171296
r_down	MCD	-1.01402
r_down	AXP	0.129928
r_down	VNO	-0.0189668
r_down	RIG	-1.06561
r_down	EQR	0.0879984
r_down	WEN	0.0232689
r_down	GPC	0.681923
r_down	BNI	-0.439092
r_down	HAS	-0.2802
r_down	THC	0.620353
r_down	GPS	-0.599316
r_down	KIM	-0.228829
r_down	SYY	-0.00825341
r_down	AES	0.122295
r_down	EMC	-0.491189
r_down	ESRX	1.05327
r_down	AMAT	0.611605
