2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.552221
r_down	3.6	0.822515
r_down	50-50	0.822515
r_down	's	-0.282037
r_down	53	-2.74904
r_down	shares	0.0274859
r_down	fall	2.27116
r_down	flash	-1.68875
r_down	its	-2.94853
r_down	losses	1.92031
r_down	close	1.92753
r_down	8	2.69322
r_down	rush	2.69322
r_down	focus	-2.6657
r_down	higher	-1.07583
r_down	gaining	0.714162
r_down	stocks	-1.72275
r_down	declining	0.504412
r_down	loss	1.14548
r_down	$	-0.299303
r_down	gains	0.681735
r_down	jobless	-1.11086
r_down	after	0.410027
r_down	add	-0.860887
r_down	claims	-3.21609
r_down	128	1.64507
r_down	look	-0.54988
r_down	stronger	-0.54988
r_down	victory	-0.54988
r_down	each	-0.54988
r_down	patents	-0.54988
r_down	``	0.751972
r_down	hold	-3.59132
r_down	''	0.751972
r_down	rise	-1.67145
r_down	broad	0.396654
r_down	tech	-0.511444
r_down	2008	8.17355
r_down	lead	-1.41897
r_down	rejection	2.25334
r_down	bid	2.25334
r_down	up	0.0779609
r_down	results	2.46882
r_down	tumble	1.97069
r_down	market	-3.45435
r_down	pricing	2.96285
r_down	basement	2.69065
r_down	bargains	2.69065
r_down	week	0.41206
r_down	end	-0.128077
r_down	mixed	-2.82365
r_down	10	-2.02309
r_down	2009	2.5199
r_down	7	2.84552
r_down	advance	8.60081
r_down	chip	-0.47684
r_down	plummet	1.38452
r_down	roils	1.38452
r_down	financial	1.38452
r_down	follow	-1.31398
r_down	north	-2.64375
r_down	bailout	-2.19057
r_down	20	-2.74947
r_down	surprises	-0.813771
r_down	advisories	-0.813771
r_down	despite	1.26041
r_down	remains	-0.396155
r_down	slump	0.933105
r_down	15	-4.5776
r_down	3.5	-1.94328
r_down	35.6	-1.05611
r_down	surges	-0.897237
r_down	deal	0.994904
r_down	1	-0.828012
r_down	1.6	-1.37475
r_down	1.1	-1.37475
r_down	highlight	0.61223
r_down	leaves	-0.257798
r_down	battered	-0.257798
r_down	2.4	1.64507
r_down	33	1.94432
r_down	led	-1.72086
r_down	bounces	-1.02773
r_down	investors	-3.14247
r_down	leads	-0.884067
r_down	while	2.51041
r_down	plunges	-0.175078
r_down	soars	-5.08368
r_down	80	1.11319
r_down	21	1.11319
r_down	drag	1.64785
r_down	mark	4.69652
r_down	gain	-1.24225
r_down	steam	-5.27169
r_down	14	-0.382436
r_down	report	5.63376
r_down	plunge	-4.9528
r_down	lower	5.33595
r_down	90	-2.46734
r_down	7.3	-1.22504
r_down	3.4	-1.22504
r_down	22	-0.0384456
r_down	25	-3.49608
r_down	decision	-1.73361
r_down	drags	-1.22291
r_down	techs	-1.27816
r_down	disaster	0.916748
r_down	deflation	0.916748
r_down	may	0.916748
r_down	spell	0.916748
r_down	exception	1.2192
r_down	finishes	1.2192
r_down	post	2.72928
r_down	2,000	-2.75743
r_down	09	-0.962512
r_down	8216	-0.962512
r_down	jump	-3.097
r_down	consolidate	1.05798
r_down	floats	1.05798
r_down	slide	3.63197
r_down	find	-0.38792
r_down	but	4.2051
r_down	tech-sector	-3.09957
r_down	3.3	-2.74904
r_down	65	1.64507
r_down	rebound	0.548364
r_down	have	0.548364
r_down	fourth-quarter	0.548364
r_down	mild	-2.68224
r_down	way	-0.565672
r_down	2	-4.21515
r_down	erratic	5.49175
r_down	company	-0.916496
r_down	bad	-0.916496
r_down	'good	-0.916496
r_down	8th	2.24376
