2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	-0.316002
r_down	300,000	1.2566
r_down	2007	1.2566
r_down	...	-1.88124
r_down	may	3.20563
r_down	$	0.046262
r_down	66c	0.611024
r_down	63c	0.611024
r_down	5	1.29107
r_down	weighs	-1.06384
r_down	1.46	-1.06384
r_down	gaining	0.540427
r_down	1.09	-1.06384
r_down	biggest	0.540427
r_down	stocks	-0.834836
r_down	's	0.431176
r_down	declining	0.540427
r_down	surprises	-0.113035
r_down	advisories	-0.113035
r_down	7	3.11028
r_down	investors	0.669573
r_down	mull	0.669573
r_down	next	0.669573
r_down	potential	0.669573
r_down	casualty	0.669573
r_down	jumps	-2.9535
r_down	19	-1.07066
r_down	71	3.58419
r_down	worldwide	-0.774708
r_down	wreckage	-0.774708
r_down	rose	-0.774708
r_down	amid	-0.774708
r_down	spotlight	3.51074
r_down	hit	-1.07084
r_down	fears	-5.60385
r_down	n't	0.305058
r_down	39	-2.2248
r_down	extend	1.13058
r_down	focus	2.22275
r_down	inflation	1.13058
r_down	data	0.254097
r_down	but	-2.51978
r_down	indexes	0.351597
r_down	higher	1.97139
r_down	rally	-1.62129
r_down	more	2.07285
r_down	banks	2.64433
r_down	up	1.10999
r_down	late-traded	-0.369326
r_down	sales	-0.369326
r_down	lifts	-0.369326
r_down	view	-0.369326
r_down	planning	1.04103
r_down	participate	1.04103
r_down	loss	-5.30941
r_down	jolt	0.416382
r_down	50,000	0.416382
r_down	job	0.416382
r_down	cuts	0.416382
r_down	latest	0.416382
r_down	path	1.04097
r_down	billions	1.04097
r_down	rules	0.437696
r_down	future	0.437696
r_down	profits	0.437696
r_down	financials	0.761866
r_down	increased	0.437696
r_down	its	3.75576
r_down	seven	0.403101
r_down	15	-1.38766
r_down	another	0.403101
r_down	invests	0.403101
r_down	matches	0.837654
r_down	worst	0.837654
r_down	ever	0.837654
r_down	market	2.05171
r_down	earnings	3.93992
r_down	8220	-1.17066
r_down	8221	-1.17066
r_down	big	-0.484761
r_down	rebound	-2.05425
r_down	off	-2.32343
r_down	mixed	-0.931254
r_down	drops	-1.49205
r_down	8230	-0.673481
