2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	0.0102494
r_up	biggest	0.290827
r_up	gaining	0.290827
r_up	's	-0.227321
r_up	declining	0.290827
r_up	cut	-2.20767
r_up	move	-4.67597
r_up	rally	-0.265167
r_up	08	2.47184
r_up	insurers	1.60751
r_up	warning	-3.80193
r_up	second	2.75557
r_up	profit	-0.698271
r_up	'08	-2.17925
r_up	3.6	2.18697
r_up	2	1.40313
r_up	21st	2.18697
r_up	forecast	-2.40362
r_up	edge	-0.68048
r_up	2012	-0.920745
r_up	25	4.8212
r_up	months	3.29904
r_up	$	-0.128801
r_up	4	-0.956701
r_up	'07	-2.07883
r_up	80	0.323533
r_up	31	-0.606967
r_up	3	-0.261707
r_up	1,200	2.18697
r_up	2000	2.18697
r_up	soars	2.33376
r_up	ahead	-1.67541
r_up	mixed	-0.238641
r_up	up	-3.38923
r_up	n't	1.70388
r_up	costs	-1.24918
r_up	'll	-2.85266
r_up	hit	-1.53077
r_up	wake	-2.83491
r_up	old	0.312424
r_up	look	0.312424
r_up	nets	0.312424
r_up	rickety	0.312424
r_up	safety	0.312424
r_up	failsafes	0.312424
r_up	seek	0.312424
r_up	falls	3.5307
r_up	1,000,000	2.18692
r_up	37	1.16387
r_up	rises	0.834456
r_up	17	2.41425
r_up	sector	2.25725
r_up	lead	2.27835
r_up	'09	0.0823589
r_up	85	-1.47729
r_up	settlement	0.5425
r_up	pay	0.5425
r_up	30	0.688137
r_up	million	0.5425
r_up	...	2.18697
r_up	health-care	2.30116
r_up	plans	-2.94235
r_up	cost	-2.94235
r_up	5	1.3762
r_up	26	2.18697
r_up	24	2.10481
r_up	sales	2.31733
r_up	2009	-4.70954
r_up	5.4	-2.06221
r_up	vs.	-2.20748
r_up	93c	-0.990213
r_up	17c	-0.990213
r_up	still	2.93409
r_up	1,000	2.18697
r_up	350	2.31553
r_up	40	1.46709
r_up	61	2.18697
r_up	8217	-2.20737
r_up	28	2.18697
r_up	amp	-1.34866
r_up	0.5	-2.20859
r_up	among	-4.0294
r_up	ordered	-0.876488
r_up	doctor	-0.876488
r_up	5.6	2.18697
r_up	1st	2.18697
r_up	job	0.546782
r_up	senior	0.546782
r_up	centers	0.546782
r_up	fitness	0.546782
r_up	9.3	2.18697
r_up	these	-0.220644
r_up	crow	-0.220644
r_up	over	-0.662871
r_up	picks	-0.220644
r_up	stupid	-0.220644
r_up	have	-0.220644
r_up	7.5	-0.220644
r_up	eat	-0.220644
r_up	hospitals	-3.15959
r_up	8.1	-1.52584
r_up	ups	3.22035
r_up	raised	5.57644
r_up	slip	-2.96878
r_up	all	0.546774
r_up	bank	0.546774
r_up	way	0.546774
r_up	laugh	0.546774
r_up	everyone	0.236673
r_up	option	0.236673
r_up	health-insurance	0.0778565
r_up	slam	0.236673
r_up	fade	0.236673
r_up	public	0.236673
r_up	health	-2.95493
r_up	care	1.25356
r_up	lawmakers	0.233514
r_up	return	0.233514
r_up	takes	0.233514
r_up	spotlight	0.233514
r_up	cooler	-0.551872
r_up	see	-0.551872
r_up	strategists	-0.551872
r_up	beach	-0.551872
r_up	count	0.241523
r_up	panacea	0.241523
r_up	've	2.18697
r_up	bargain	-0.367897
r_up	cash-flow	-0.367897
r_up	helps	-0.367897
r_up	pick	-0.367897
r_up	you	-0.367897
r_up	primer	-0.367897
r_up	portfolio	-0.735896
r_up	punctuate	-0.735896
r_up	diversified	-0.735896
r_up	1.7	-1.52584
r_up	99	-2.20748
r_up	proposed	0.32777
r_up	boost	2.4225
r_up	'10	2.42241
r_up	panel	-2.25783
r_up	23	1.28315
r_up	11	-0.498221
r_up	fund	0.546754
r_up	manager	0.546754
r_up	like	0.546754
r_up	65	0.546754
r_up	ends	-0.692295
r_up	note	-0.692295
r_up	bright	-0.692295
r_up	bonanza	-0.692295
r_up	decade	-0.692295
r_up	big	4.63379
r_up	industry	-0.551856
r_up	make	-0.551856
r_up	bundle	-0.551856
r_up	execs	-0.551856
r_up	overhaul	2.18763
r_up	38	-1.95056
r_up	fourth-quarter	-0.754403
r_up	swings	-0.754403
r_up	test	5.56501
r_up	500	-1.66843
r_up	firestorm	-0.77225
r_up	faces	-0.77225
r_up	hearing	-0.551856
r_up	investor	-0.551856
r_up	cancels	-0.551856
r_up	due	-0.551856
r_up	hike	1.46709
r_up	meet	-2.28526
r_up	ground	-2.53715
r_up	lose	-2.53715
r_up	slams	-3.04791
r_up	troubles	-3.28214
r_up	gain	1.07498
r_up	snags	0.330721
r_up	backdating	0.330721
r_up	rates	0.330721
r_up	swing	0.330721
r_up	device	0.330721
r_up	cases	0.330721
r_up	makers	0.330721
r_up	stick	0.330721
r_up	bold	0.030817
r_up	since	0.030817
r_up	anemic	0.030817
r_up	2011	-0.216803
r_up	21	-3.03147
r_up	29	2.90629
r_up	raises	4.92271
r_up	1.3	2.54295
r_up	watch	-1.48717
r_up	uphill	1.09355
r_up	battle	1.09355
r_up	1	-0.975138
r_up	7	2.44226
r_up	strong	-2.20769
r_up	jump	1.33769
r_up	ratings	1.33769
r_up	upgrade	-0.493364
r_up	lift	-0.712205
r_up	news	0.790749
r_up	gives	-0.712205
r_up	6	2.18697
r_up	'01	-2.20748
r_up	patients	-2.85148
r_up	drama	-0.994277
r_up	dismisses	-0.994277
r_up	performer	-0.994277
r_up	debt	-1.97858
r_up	beat	1.09346
r_up	views	1.09346
r_up	fears	-0.4303
r_up	ripple	-0.4303
r_up	2.7	1.46696
r_up	2,300	2.18697
r_up	feel	-0.735876
r_up	pinch	-0.735876
r_up	stronger	-0.735876
r_up	buy	-0.990039
r_up	should	-0.990039
r_up	3.5	-1.85136
r_up	1.25	-2.07883
r_up	32	2.18697
r_up	tops	-1.28639
r_up	drags	-0.717014
r_up	reports	-0.717014
r_up	confound	-0.338388
r_up	miss	-0.338388
r_up	dim	-1.48816
r_up	hurt	-1.48816
r_up	analystà€™s	-1.48816
r_up	merger	1.09351
r_up	warm	1.09351
r_up	20	-2.07883
r_up	lawsuit	1.6239
r_up	blow	-1.90767
r_up	could	-1.90767
r_up	toward	1.94594
r_up	leans	1.94594
r_up	mandate	0.924016
r_up	split	0.924016
r_up	show	0.924016
r_up	ambiguous	2.28015
