2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	0.110939
r_up	market	2.50017
r_up	higher	0.812804
r_up	biggest	2.07126
r_up	gaining	2.07126
r_up	's	-0.66011
r_up	$	-0.273463
r_up	4.5	1.17979
r_up	7.8	1.17979
r_up	profit	-0.237349
r_up	weaker	0.505979
r_up	posts	1.24336
r_up	focus	-0.294431
r_up	87c	-2.0143
r_up	warns	-2.50519
r_up	cuts	2.83415
r_up	banks	-1.41404
r_up	fall	1.37799
r_up	prices	-1.9865
r_up	stock	1.63494
r_up	spotlight	-0.30665
r_up	outlook	-2.54094
r_up	7.5	-4.2457
r_up	start	-2.79865
r_up	but	3.6179
r_up	200	1.04302
r_up	500	1.04302
r_up	deal	2.42705
r_up	'08	-1.76726
r_up	lead	-1.21805
r_up	financials	-1.21805
r_up	could	-1.5123
r_up	over	-2.43725
r_up	after	-4.25478
r_up	forecast	-1.41725
r_up	under	-0.924739
r_up	vs.	1.97001
r_up	rise	1.05382
r_up	delivers	-2.43666
r_up	n't	1.47569
r_up	600	-1.84317
r_up	finish	-1.84317
r_up	says	-2.53741
r_up	hold	1.98152
r_up	buy	1.98152
r_up	time	1.98152
r_up	200,000	-2.3085
r_up	hopes	-0.577112
r_up	bid	-0.577112
r_up	takeover	-0.577112
r_up	soar	-0.577112
r_up	surprises	0.387065
r_up	advisories	0.387065
r_up	21	2.32553
r_up	balk	-1.15423
r_up	sender	-1.15423
r_up	up	0.332123
r_up	16	2.0863
r_up	declines	0.276813
r_up	stronger	0.276813
r_up	speech	0.276813
r_up	before	0.276813
r_up	13	-2.3085
r_up	30	2.83317
r_up	22	0.899314
r_up	falls	-2.54209
r_up	quarterly	-0.223756
r_up	10	1.56866
r_up	2010	1.11218
r_up	hits	-2.69526
r_up	10,000	2.04165
r_up	1	-4.36929
r_up	2009	1.8952
r_up	5.9	0.610477
r_up	looking	-0.577103
r_up	downturn	-0.577103
r_up	chief	-0.577103
r_up	longer	-0.577103
r_up	climbs	0.102374
r_up	'09	-1.4983
r_up	looks	0.102374
r_up	call	2.47999
r_up	industrials	4.05194
r_up	900	-2.3085
r_up	1930s	-2.3085
r_up	--	2.32579
r_up	2	-1.89166
r_up	index	0.417196
r_up	replacements	0.417196
r_up	dropped	0.417196
r_up	mull	0.417196
r_up	if	0.417196
r_up	ends	0.924745
r_up	get	0.924745
r_up	busier	0.924745
r_up	year	0.924745
r_up	analyst	0.924745
r_up	cost	-0.769472
r_up	valuation	-0.769472
r_up	boosts	-0.769472
r_up	-71	1.04746
r_up	fewer	-2.06857
r_up	highs	2.26523
r_up	week	0.686604
r_up	stories	0.686604
r_up	top	0.686604
r_up	7-11	0.686604
r_up	43	1.26188
r_up	50,000	-3.05567
r_up	upbeat	2.74623
r_up	14	2.0863
r_up	'll	-1.19766
r_up	400	2.0863
r_up	4.9	3.52388
r_up	renewed	0.41721
r_up	creeps	0.41721
r_up	shipping	0.41721
r_up	air	0.41721
r_up	toward	0.41721
r_up	3	1.40944
r_up	5th	-0.98788
r_up	5	-2.30847
r_up	''	-1.15423
r_up	``	-1.15423
r_up	relief	2.24765
r_up	8	-3.97153
r_up	gains	0.215555
r_up	lack	0.464697
r_up	charges	0.464697
r_up	doubles	0.464697
r_up	than	0.464697
r_up	more	0.464697
r_up	10000	-2.30823
r_up	58	1.74678
r_up	go	-0.769478
r_up	unlikely	-0.769478
r_up	way	-0.769478
r_up	security-tabs	0.708027
r_up	slides	2.16919
r_up	data	-1.12498
r_up	remain	-0.769489
r_up	shuttered	-0.769489
r_up	across	-0.769489
r_up	2nd	2.74649
r_up	85	-1.64815
r_up	2011	-1.38102
r_up	777s	1.66077
r_up	watch	0.116444
r_up	90	1.93543
r_up	401	3.00666
r_up	plane	0.695314
r_up	crashes	0.695314
r_up	takeoff	0.695314
r_up	tricks	-0.769489
r_up	political	-0.769489
r_up	treats	-0.769489
r_up	plot	3.47018
r_up	freight	3.47018
r_up	may	0.425837
r_up	firms	0.425837
r_up	security	0.425837
r_up	10-year	-1.53566
r_up	bears	0.417196
r_up	rattle	0.417196
r_up	major	0.417196
r_up	cage	0.417196
r_up	support	0.417196
r_up	case	-0.461691
r_up	hear	-0.461691
r_up	court	-0.461691
r_up	sex-bias	-0.461691
r_up	suit	-0.461691
r_up	-15	-3.87699
r_up	1982	-2.3085
r_up	48	1.38512
r_up	11	0.786545
r_up	named	0.786545
r_up	winners	0.786545
r_up	2.7	0.974964
r_up	inflation	0.521495
r_up	crushing	0.521495
r_up	us	0.521495
r_up	places	0.521495
r_up	6.9	-0.00556673
r_up	wrangling	-0.769489
r_up	continue	-0.769489
r_up	debt	-0.769489
r_up	26	-0.800615
r_up	athletes	0.417196
r_up	thousands	0.417196
r_up	college	0.417196
r_up	worth	0.417196
r_up	hundreds	0.417196
r_up	ways	-0.412003
r_up	world	-0.412003
r_up	make	-0.412003
r_up	better	-0.412003
r_up	does	-0.769479
r_up	so	-0.769479
r_up	goes	-0.769479
r_up	buybacks	-1.15421
r_up	opportunities	-1.15421
r_up	5.1	-1.52789
r_up	contrarians	-2.3085
r_up	6.2	1.41666
r_up	investments	-2.3085
r_up	2012	-2.30869
r_up	89	4.27859
