2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.623289
r_down	's	-0.371435
r_down	2007	1.10633
r_down	$	-0.267247
r_down	3.9	1.10633
r_down	28	1.50795
r_down	35	-1.47507
r_down	windfall	-1.45364
r_down	score	-1.45364
r_down	consortium	-1.45364
r_down	1st	1.57397
r_down	bank	3.70171
r_down	up	-4.06096
r_down	focus	0.208315
r_down	banks	0.586753
r_down	perform	0.648455
r_down	well	0.648455
r_down	poised	0.648455
r_down	4	-0.246328
r_down	plunge	0.0600997
r_down	next	0.920099
r_down	potential	0.920099
r_down	stocks	-1.25023
r_down	casualty	0.920099
r_down	50	-2.89886
r_down	cuts	5.03107
r_down	tumble	-2.24906
r_down	financials	-2.83224
r_down	rise	-3.09926
r_down	fall	1.06161
r_down	off	2.55266
r_down	surprises	-2.31333
r_down	mergers	1.62058
r_down	oil	-0.289909
r_down	commodity	-0.289909
r_down	dividend	-2.89937
r_down	these	3.44071
r_down	into	0.369932
r_down	n't	-0.0909133
r_down	billion	1.36004
r_down	big	1.97917
r_down	5	-1.77457
r_down	investment	1.08544
r_down	but	0.52808
r_down	worth	-3.03892
r_down	buying	-2.11241
r_down	'm	1.57397
r_down	700	1.38064
r_down	slips	0.0827007
r_down	47	0.0827007
r_down	recover	0.0827007
r_down	gaining	1.58366
r_down	biggest	1.58366
r_down	declining	1.58366
r_down	may	2.05118
r_down	21	3.31496
r_down	new	2.0247
r_down	structure	0.330539
r_down	power	0.330539
r_down	''	-0.290196
r_down	spotlight	-2.91368
r_down	...	-2.23689
r_down	business	-0.612541
r_down	change	-0.612541
r_down	'09	0.163865
r_down	wrack	-0.727388
r_down	hardest	-0.727388
r_down	hit	-0.727388
r_down	mortgages	0.613747
r_down	million	0.613747
r_down	buys	0.613747
r_down	s	2.01523
r_down	gains	-0.120343
r_down	65	-0.014023
r_down	driving	-1.13574
r_down	sours	-1.13574
r_down	further	-1.13574
r_down	13	-1.99881
r_down	your	1.79112
r_down	t	-3.70814
r_down	says	-4.94802
r_down	1,000	1.25467
r_down	coming	-2.95788
r_down	bow	-1.22456
r_down	awaits	-1.22456
r_down	stress	-2.81993
r_down	some	-2.36258
r_down	year	2.08532
r_down	executive	0.858867
r_down	chief	0.858867
