2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.117667
r_down	$	-0.426477
r_down	form	0.811663
r_down	chest	0.811663
r_down	2	-0.562196
r_down	bln	0.811663
r_down	firms	0.811663
r_down	war	0.811663
r_down	record	0.0409194
r_down	fall	0.0617079
r_down	inventories	3.01085
r_down	oil	0.735466
r_down	's	0.0588916
r_down	hard	2.65221
r_down	prices	-0.101162
r_down	broad	-0.0590056
r_down	pressure	2.47903
r_down	market	-0.112446
r_down	crude	0.992835
r_down	lift	0.604282
r_down	gets	0.291819
r_down	record-high	0.291819
r_down	sector	2.13623
r_down	stocks	0.636488
r_down	rally	-3.23402
r_down	3	0.266941
r_down	2nd	-3.80293
r_down	weigh	0.414182
r_down	energy	0.138282
r_down	gas	1.93469
r_down	along	0.196665
r_down	lend	-2.04489
r_down	shares	0.134427
r_down	services	2.7195
r_down	decline	-1.90698
r_down	deepens	-1.00725
r_down	soon	-1.00725
r_down	but	3.04907
r_down	tumbling	-1.00725
r_down	they	-1.00725
r_down	not	-1.00725
r_down	profit	-1.38605
r_down	costs	2.20021
r_down	retreat	2.86485
r_down	gaining	0.218996
r_down	gains	-3.39962
r_down	lead	-5.43962
r_down	surprises	0.999191
r_down	biggest	0.218996
r_down	declining	0.218996
r_down	up	-0.157534
r_down	rallies	2.47567
r_down	close	4.69524
r_down	gasoline	-0.155504
r_down	midday	0.993178
r_down	downbeat	0.993178
r_down	modest	0.0876307
r_down	unable	0.993178
r_down	sustain	0.993178
r_down	earnings	0.423059
r_down	braces	0.993178
r_down	advance	0.5466
r_down	supply	1.57488
r_down	data	-0.959145
r_down	dip	-2.51419
r_down	clock	0.2571
r_down	industry	0.2571
r_down	revitalize	0.2571
r_down	faces	0.2571
r_down	protests	0.2571
r_down	output	1.33984
r_down	lows	1.4658
r_down	producer	-1.06106
r_down	back	-3.06425
r_down	lower	0.100762
r_down	petroleum	-0.648877
r_down	focus	2.04278
r_down	begins	0.125153
r_down	industrials	0.125153
r_down	ease	0.125153
r_down	indexes	0.125153
r_down	meeting	0.125153
r_down	cut	1.19795
r_down	72	2.02054
r_down	more	2.40177
