+80	DUK	4.709170
275	DUK	4.501680
6	DUK	4.021650
7	DUK	3.570650
30	DUK	3.310180
420	DUK	3.274610
5.8	DUK	3.274610
500	DUK	3.186160
280	DUK	3.156900
leads	DUK	2.751810
lower	DUK	2.337500
1	DUK	2.294800
energy	DUK	2.286340
focus	DUK	2.249870
20	DUK	2.048610
70	DUK	2.047810
2012	DUK	1.587510
39	DUK	1.072900
36	DUK	1.072760
retreat	DUK	-4.726740
nuclear	DUK	-3.154890
more	DUK	-3.093770
415	DUK	-2.827670
buy	DUK	-2.641760
fall	DUK	-2.442880
headline	DUK	-2.346630
9.3	DUK	-2.346600
7.2	DUK	-2.346600
'd	DUK	-2.346600
via	DUK	-2.346600
60	DUK	-2.346600
50	DUK	-2.346600
29	DUK	-2.300370
65	DUK	-2.299930
10	DUK	-2.131270
sell-off	DUK	-1.849510
swept	DUK	-1.849510
spotlight	DUK	-1.605850
2.2	DUK	-1.546570
