focus	SJM	18.155600
more	SJM	15.063100
1	SJM	14.948100
n't	SJM	14.269900
6	SJM	12.745300
increase	SJM	12.745300
9.1	SJM	12.745300
2008	SJM	12.745300
its	SJM	12.745300
profit	SJM	12.449600
rise	SJM	11.754300
10	SJM	11.325000
costs	SJM	11.297500
$	SJM	10.290300
21	SJM	9.180060
jumps	SJM	8.162410
hikes	SJM	8.101270
9.7	SJM	8.040230
11	SJM	7.868630
4	SJM	-16.180900
eye	SJM	-13.771900
3	SJM	-13.223700
15	SJM	-11.421100
inflation	SJM	-11.204500
76.97	SJM	-11.032800
prices	SJM	-10.116900
2012	SJM	-9.623680
17	SJM	-8.823190
2.8	SJM	-8.632950
coffee	SJM	-8.238930
parent	SJM	-6.913570
million	SJM	-6.913570
400	SJM	-6.913570
files	SJM	-6.913570
8	SJM	-6.552930
25	SJM	-6.203980
but	SJM	-6.071470
hurts	SJM	-6.071470
shares	SJM	-6.071470
